Date,Low,Open,Volume,High,Close,Adjusted Close
10-08-1994,5.375,5.5,8654400,5.75,5.6875,3.9558863639831543
11-08-1994,5.25,5.6875,1704400,5.6875,5.3125,3.6950583457946777
12-08-1994,5.3125,5.3125,276800,5.4375,5.4375,3.782000780105591
15-08-1994,5.15625,5.4375,242000,5.4375,5.375,3.7385265827178955
16-08-1994,5.308594226837158,5.4375,382400,5.621094226837158,5.3125,3.6950583457946777
17-08-1994,5.3125,5.4375,299200,5.4375,5.4375,3.782000780105591
18-08-1994,5.3125,5.4375,359600,5.4375,5.4375,3.782000780105591
19-08-1994,5.3125,5.3125,259600,5.4375,5.4375,3.782000780105591
22-08-1994,5.25,5.4375,400400,5.4375,5.375,3.7385265827178955
23-08-1994,5.25,5.375,252800,5.375,5.375,3.7385265827178955
24-08-1994,5.3125,5.4375,505200,5.625,5.625,3.9124138355255127
25-08-1994,5.5,5.625,242000,5.625,5.625,3.9124138355255127
26-08-1994,5.5625,5.625,1368400,6.4375,6.265625,4.35799503326416
29-08-1994,6.25,6.3125,1600000,6.9375,6.875,4.781841278076172
30-08-1994,6.8125,6.9375,1066800,7.25,7.125,4.955725193023682
31-08-1994,6.625,7.125,676400,7.125,6.8125,4.738368988037109
01-09-1994,6.625,6.6875,308000,6.75,6.75,4.694897174835205
02-09-1994,6.625,6.75,236800,6.75,6.75,4.694897174835205
06-09-1994,6.625,6.625,215200,6.75,6.75,4.694897174835205
07-09-1994,6.875,6.9375,320400,7.0625,6.875,4.781841278076172
08-09-1994,6.875,7.0,309200,7.1875,7.0,4.868783950805664
09-09-1994,6.996094226837158,7.1875,237600,7.1875,7.1875,4.999195098876953
12-09-1994,6.9375,7.0625,330400,7.1875,6.9375,4.825309753417969
13-09-1994,6.9375,7.0,281600,7.1875,7.0625,4.9122538566589355
14-09-1994,7.0,7.1875,308000,7.4375,7.4375,5.1730804443359375
15-09-1994,7.25,7.4375,338400,7.5625,7.5625,5.260023593902588
16-09-1994,7.375,7.5,230400,7.6875,7.53125,5.238289833068848
19-09-1994,7.4375,7.5625,344000,7.625,7.5625,5.260023593902588
20-09-1994,7.375,7.5,509600,7.5,7.375,5.129607677459717
21-09-1994,7.375,7.375,264000,7.625,7.5,5.216552734375
22-09-1994,7.5,7.625,200000,7.6875,7.6875,5.346965312957764
23-09-1994,7.625,7.75,419600,8.25,8.1875,5.694736480712891
26-09-1994,8.3125,8.375,348000,8.75,8.6875,6.042505741119385
27-09-1994,8.5,8.8125,644400,8.8125,8.71875,6.064241409301758
28-09-1994,8.5625,8.75,586800,8.75,8.6875,6.042505741119385
29-09-1994,8.4375,8.6875,205200,8.6875,8.625,5.999034881591797
30-09-1994,8.375,8.5,164000,8.625,8.40625,5.846887588500977
03-10-1994,7.75,8.375,476400,8.5,7.875,5.47737979888916
04-10-1994,7.625,7.8125,486800,8.1875,7.8125,5.433908939361572
05-10-1994,7.25,7.5,626400,7.625,7.625,5.303494453430176
