Date,Low,Open,Volume,High,Close,Adjusted Close
17-11-1995,10.0,10.75,1867800,10.75,10.0,9.946066856384277
20-11-1995,10.0,10.375,314000,10.375,10.0,9.946066856384277
21-11-1995,9.5,10.375,296700,10.375,9.5,9.448762893676758
22-11-1995,9.5,10.0,216200,10.0,9.5,9.448762893676758
24-11-1995,9.5,9.75,20500,9.75,9.75,9.697416305541992
27-11-1995,8.75,9.5,73300,9.75,9.0,8.951461791992188
28-11-1995,8.75,8.75,37300,9.25,9.25,9.200113296508789
29-11-1995,9.0,9.5,283800,10.0,9.875,9.821742057800293
30-11-1995,10.0,10.5,657800,10.875,10.5,10.44336986541748
01-12-1995,10.125,10.5,245700,11.0,10.5,10.44336986541748
04-12-1995,10.5,11.0,67000,11.0,10.5,10.44336986541748
05-12-1995,10.5,11.0,82900,11.0,10.6875,10.629859924316406
06-12-1995,10.25,11.0,62700,11.0,10.375,10.319046020507812
07-12-1995,10.25,10.875,29900,10.875,10.3125,10.256882667541504
08-12-1995,10.25,10.875,84200,11.0,10.25,10.194720268249512
11-12-1995,10.375,11.0,106600,11.0,10.625,10.567697525024414
12-12-1995,10.0,10.5,148300,10.875,10.125,10.070393562316895
13-12-1995,9.625,10.0,162700,10.5,9.625,9.573090553283691
14-12-1995,9.5,10.0,104300,10.0,9.5,9.448762893676758
15-12-1995,9.5,9.5,98700,10.0,9.5,9.448762893676758
18-12-1995,8.5,9.5,129300,10.0,8.5,8.454158782958984
19-12-1995,8.5,8.5,49500,9.0,8.75,8.702810287475586
20-12-1995,8.625,9.0,46100,9.0,8.625,8.578483581542969
21-12-1995,8.625,8.625,20900,9.0,9.0,8.951461791992188
22-12-1995,8.25,9.0,142600,9.0,9.0,8.951461791992188
26-12-1995,8.75,8.75,42200,9.375,9.375,9.324440002441406
27-12-1995,9.0,9.375,24300,9.375,9.0,8.951461791992188
28-12-1995,9.125,9.25,67300,9.75,9.375,9.324440002441406
29-12-1995,9.0,9.25,30000,9.75,9.0,8.951461791992188
02-01-1996,9.0,9.75,10800,9.75,9.0,8.951461791992188
03-01-1996,9.0,9.0,7500,9.75,9.75,9.697416305541992
04-01-1996,8.75,9.75,10000,9.75,9.0,8.951461791992188
05-01-1996,8.25,9.25,71100,9.25,8.75,8.702810287475586
08-01-1996,8.25,8.75,200,8.75,8.25,8.205506324768066
09-01-1996,8.25,8.25,11000,8.75,8.75,8.702810287475586
10-01-1996,7.375,8.75,62500,8.75,7.375,7.335226058959961
11-01-1996,7.375,8.125,39200,8.125,8.125,8.081180572509766
12-01-1996,6.5,8.125,768000,8.125,7.375,7.335226058959961
15-01-1996,6.625,7.375,58400,7.625,7.125,7.086574077606201
16-01-1996,6.625,7.125,11000,7.125,6.625,6.58927059173584
17-01-1996,6.5,7.125,5400,7.125,6.625,6.58927059173584
18-01-1996,6.5,6.875,144400,6.875,6.875,6.8379225730896
19-01-1996,6.625,6.875,78600,7.625,7.625,7.5838775634765625
22-01-1996,7.5,7.5,78400,8.125,8.0,7.956854343414307
23-01-1996,8.1875,8.25,148400,8.625,8.625,8.578483581542969
24-01-1996,8.0,8.625,200400,8.625,8.625,8.578483581542969
25-01-1996,8.125,8.625,21100,8.625,8.625,8.578483581542969
26-01-1996,8.0,8.625,33800,8.625,8.0,7.956854343414307
29-01-1996,8.125,8.625,20400,8.75,8.5,8.454158782958984
30-01-1996,8.375,8.75,22500,8.75,8.75,8.702810287475586
