Date,Low,Open,Volume,High,Close,Adjusted Close
13-04-1999,14.0,14.0,1200,14.0,14.0,5.917408466339111
14-04-1999,14.0,14.0,800,14.0,14.0,5.917408466339111
15-04-1999,14.0,14.0,600,14.0,14.0,5.917408466339111
16-04-1999,14.0,14.0,0,14.0,14.0,5.917408466339111
19-04-1999,14.0,14.0,0,14.0,14.0,5.917408466339111
20-04-1999,13.5625,13.75,3000,13.75,13.5625,5.732491493225098
21-04-1999,13.875,13.875,1400,13.875,13.875,5.864575386047363
22-04-1999,13.5,13.875,1800,13.875,13.5,5.706074237823486
23-04-1999,13.5,13.5,2600,13.75,13.6875,5.785324573516846
26-04-1999,13.5,13.5,1000,13.5,13.5,5.706074237823486
27-04-1999,13.75,13.75,5800,14.0,13.75,5.811741352081299
28-04-1999,14.4375,14.5,1800,14.5,14.4375,6.102331638336182
29-04-1999,14.25,14.4375,3600,14.4375,14.25,6.023078441619873
30-04-1999,14.125,14.125,4000,14.125,14.125,5.970244407653809
03-05-1999,14.125,14.125,0,14.125,14.125,5.970244407653809
04-05-1999,14.0,14.0,1000,14.0,14.0,5.917408466339111
05-05-1999,14.0,14.0,0,14.0,14.0,5.917408466339111
06-05-1999,14.1875,14.1875,400,14.1875,14.1875,5.996659755706787
07-05-1999,14.1875,14.1875,0,14.1875,14.1875,5.996659755706787
10-05-1999,14.0,14.1875,4400,14.25,14.0,5.917408466339111
11-05-1999,14.0,14.0,0,14.0,14.0,5.917408466339111
12-05-1999,14.25,14.25,2000,14.25,14.25,6.023078441619873
13-05-1999,14.25,14.25,0,14.25,14.25,6.023078441619873
14-05-1999,14.25,14.375,4200,14.375,14.25,6.023078441619873
17-05-1999,14.25,14.25,1200,14.25,14.25,6.023078441619873
18-05-1999,14.25,14.375,1600,14.375,14.25,6.023078441619873
19-05-1999,14.25,14.25,600,14.25,14.25,6.023078441619873
20-05-1999,14.25,14.25,4000,14.25,14.25,6.023078441619873
21-05-1999,14.25,14.25,0,14.25,14.25,6.023078441619873
24-05-1999,14.25,14.25,0,14.25,14.25,6.023078441619873
25-05-1999,14.25,14.25,0,14.25,14.25,6.023078441619873
26-05-1999,14.0,14.0,1200,14.125,14.125,5.970244407653809
27-05-1999,14.25,14.4375,4600,14.4375,14.25,6.023078441619873
28-05-1999,14.25,14.25,2400,14.25,14.25,6.023078441619873
01-06-1999,14.25,14.25,2800,14.375,14.375,6.075912952423096
02-06-1999,14.4375,14.4375,7400,15.5,14.875,6.287248611450195
03-06-1999,15.0,15.5,5000,15.5,15.0,6.340083599090576
04-06-1999,14.9375,14.9375,800,14.9375,14.9375,6.313665866851807
07-06-1999,14.9375,14.9375,0,14.9375,14.9375,6.313665866851807
08-06-1999,15.0,15.0,600,15.0,15.0,6.340083599090576
09-06-1999,15.0,15.0,0,15.0,15.0,6.397662162780762
10-06-1999,15.25,15.25,8800,15.25,15.25,6.5042901039123535
11-06-1999,15.25,15.25,0,15.25,15.25,6.5042901039123535
14-06-1999,15.25,15.25,1400,15.375,15.375,6.55760383605957
15-06-1999,15.375,15.375,0,15.375,15.375,6.55760383605957
16-06-1999,15.375,15.375,0,15.375,15.375,6.55760383605957
17-06-1999,15.75,15.75,20000,17.25,17.0,7.250680923461914
18-06-1999,16.25,17.5,8400,17.5,17.0,7.250680923461914
21-06-1999,17.0,17.5,15400,17.75,17.0,7.250680923461914
22-06-1999,17.5,17.5,10400,17.75,17.75,7.5705671310424805
23-06-1999,17.0,17.6875,14400,18.0,17.625,7.51724910736084
24-06-1999,17.75,18.0,4800,18.5,18.5,7.890452861785889
25-06-1999,17.75,18.5,3400,18.5,17.75,7.5705671310424805
28-06-1999,18.0,18.5,1200,18.5,18.0,7.677195072174072
29-06-1999,17.875,18.5,4800,18.5,18.5,7.890452861785889
30-06-1999,17.875,18.5,3400,18.5,18.5,7.890452861785889
01-07-1999,18.125,18.125,1600,18.5,18.25,7.783822059631348
02-07-1999,18.5,18.5,400,18.5,18.5,7.890452861785889
06-07-1999,18.75,18.75,200,18.75,18.75,7.997073650360107
07-07-1999,18.5,18.5,1600,18.75,18.75,7.997073650360107
08-07-1999,18.5,18.5,600,18.75,18.75,7.997073650360107
09-07-1999,18.75,18.75,11000,19.75,19.75,8.423588752746582
12-07-1999,19.5,19.75,16800,20.5,20.0,8.530217170715332
13-07-1999,20.25,20.25,2000,20.5,20.5,8.743468284606934
14-07-1999,19.5,20.5,9800,20.75,20.75,8.850095748901367
15-07-1999,19.9375,20.75,4000,20.75,20.75,8.850095748901367
16-07-1999,20.0,20.5,28000,23.0,23.0,9.809744834899902
19-07-1999,18.75,23.0,17600,23.0,18.75,7.997073650360107
20-07-1999,18.75,18.75,6800,21.0,19.5,8.316963195800781
21-07-1999,19.0,19.375,10900,20.0,19.0,8.103706359863281
22-07-1999,18.875,19.0,1000,19.25,18.875,8.050390243530273
