Date,Low,Open,Volume,High,Close,Adjusted Close
17-11-1975,7.5,0.0,1300,7.5,7.5,1.934373140335083
18-11-1975,7.5,0.0,200,7.5,7.5,1.934373140335083
19-11-1975,7.5,0.0,1100,7.5,7.5,1.934373140335083
20-11-1975,7.5,0.0,900,7.5,7.5,1.934373140335083
21-11-1975,7.5,0.0,400,7.5,7.5,1.934373140335083
24-11-1975,7.5,0.0,2700,7.5,7.5,1.934373140335083
25-11-1975,7.5,0.0,5100,7.5,7.5,1.934373140335083
26-11-1975,7.5,0.0,900,7.5,7.5,1.934373140335083
28-11-1975,7.5,0.0,800,7.5,7.5,1.934373140335083
01-12-1975,7.375,0.0,15400,7.375,7.375,1.9021328687667847
02-12-1975,7.375,0.0,8200,7.375,7.375,1.9021328687667847
03-12-1975,7.375,0.0,6300,7.375,7.375,1.9021328687667847
04-12-1975,7.375,0.0,400,7.375,7.375,1.9021328687667847
05-12-1975,7.375,0.0,3100,7.375,7.375,1.9021328687667847
08-12-1975,7.375,0.0,2600,7.375,7.375,1.9021328687667847
09-12-1975,7.375,0.0,11200,7.375,7.375,1.9021328687667847
10-12-1975,7.375,0.0,1800,7.375,7.375,1.9021328687667847
11-12-1975,7.375,0.0,700,7.375,7.375,1.9021328687667847
12-12-1975,7.375,0.0,1100,7.375,7.375,1.9021328687667847
15-12-1975,7.375,0.0,5000,7.375,7.375,1.9021328687667847
16-12-1975,7.5,0.0,3100,7.5,7.5,1.934373140335083
17-12-1975,7.375,0.0,1200,7.375,7.375,1.9021328687667847
18-12-1975,7.375,0.0,4600,7.375,7.375,1.9021328687667847
19-12-1975,7.25,0.0,1300,7.25,7.25,1.8698930740356445
22-12-1975,7.25,0.0,1200,7.25,7.25,1.8698930740356445
23-12-1975,7.25,0.0,9100,7.25,7.25,1.8698930740356445
24-12-1975,7.25,7.25,0,7.25,7.25,1.8698930740356445
26-12-1975,7.25,0.0,1900,7.25,7.25,1.8698930740356445
29-12-1975,7.25,0.0,8700,7.25,7.25,1.8698930740356445
30-12-1975,7.125,0.0,200,7.125,7.125,1.837653636932373
31-12-1975,7.125,0.0,3400,7.125,7.125,1.837653636932373
02-01-1976,7.125,0.0,700,7.125,7.125,1.837653636932373
05-01-1976,7.125,0.0,600,7.125,7.125,1.837653636932373
06-01-1976,7.125,7.125,0,7.125,7.125,1.837653636932373
07-01-1976,7.25,0.0,2000,7.25,7.25,1.8698930740356445
08-01-1976,7.25,0.0,600,7.25,7.25,1.8698930740356445
09-01-1976,7.25,0.0,100,7.25,7.25,1.8698930740356445
12-01-1976,7.375,0.0,7000,7.375,7.375,1.9021328687667847
