Date,Low,Open,Volume,High,Close,Adjusted Close
02-04-1986,20.5,21.5,12800,21.5,20.5,1.2147268056869507
03-04-1986,20.5,20.5,15700,21.5,20.5,1.2147268056869507
04-04-1986,20.5,20.5,7900,21.25,20.5,1.2147268056869507
07-04-1986,20.0,20.5,7500,20.75,20.0,1.18509840965271
08-04-1986,20.25,20.25,11800,21.0,20.25,1.1999130249023438
09-04-1986,20.25,20.25,7500,21.0,20.25,1.1999130249023438
10-04-1986,20.5,20.5,13100,21.25,20.5,1.2147268056869507
11-04-1986,21.25,21.25,9400,22.25,21.25,1.259166955947876
14-04-1986,21.25,21.25,17000,22.25,21.25,1.259166955947876
15-04-1986,20.5,21.25,12500,21.5,20.5,1.2147268056869507
16-04-1986,20.75,20.75,11100,21.75,20.75,1.2295395135879517
17-04-1986,21.0,21.0,12900,22.0,21.0,1.244353175163269
18-04-1986,20.5,21.0,9200,21.5,20.5,1.2147268056869507
21-04-1986,21.25,21.25,9600,22.0,21.25,1.259166955947876
22-04-1986,21.25,21.25,9000,22.25,21.25,1.259166955947876
23-04-1986,21.75,21.75,13400,22.75,21.75,1.2887946367263794
24-04-1986,21.5,21.75,6300,22.5,21.5,1.2806518077850342
25-04-1986,21.75,21.75,12000,22.75,21.75,1.2955421209335327
28-04-1986,21.5,21.75,12200,22.25,21.5,1.2806518077850342
29-04-1986,21.25,21.5,12200,22.0,21.25,1.265760064125061
30-04-1986,21.5,21.5,6300,22.25,21.5,1.2806518077850342
01-05-1986,21.25,21.5,4200,22.0,21.25,1.265760064125061
02-05-1986,21.0,21.25,12500,21.75,21.0,1.250868558883667
05-05-1986,21.0,21.0,5600,21.75,21.0,1.250868558883667
06-05-1986,20.75,21.0,14000,21.75,21.75,1.2955421209335327
07-05-1986,21.25,21.75,21300,22.5,21.75,1.2955421209335327
08-05-1986,21.75,21.75,7600,22.5,22.5,1.340216040611267
09-05-1986,21.75,22.5,15200,22.5,22.5,1.340216040611267
12-05-1986,21.5,22.25,16900,22.25,21.875,1.3029882907867432
13-05-1986,21.5,21.875,11800,22.25,22.25,1.3253247737884521
14-05-1986,21.5,22.25,8400,22.25,22.0,1.3104331493377686
15-05-1986,21.75,22.0,17100,22.5,21.75,1.2955421209335327
16-05-1986,21.25,21.75,31200,22.25,21.75,1.2955421209335327
19-05-1986,21.25,21.75,10600,22.0,21.25,1.265760064125061
20-05-1986,21.0,21.25,21800,22.0,21.75,1.2955421209335327
21-05-1986,20.75,21.75,11300,21.75,21.5,1.2806518077850342
22-05-1986,20.75,21.5,15300,21.5,21.5,1.2806518077850342
23-05-1986,20.75,21.5,8200,21.5,21.5,1.2874351739883423
27-05-1986,20.5,21.5,11200,21.5,20.5,1.2275538444519043
28-05-1986,20.5,20.5,15500,21.5,21.25,1.2724645137786865
29-05-1986,20.75,21.25,7400,21.5,21.5,1.2874351739883423
30-05-1986,21.25,21.5,4500,21.75,21.25,1.2724645137786865
02-06-1986,20.75,21.25,16900,21.75,21.5,1.2874351739883423
03-06-1986,20.75,21.5,13200,21.75,21.5,1.2874351739883423
04-06-1986,20.5,21.5,11700,21.5,21.25,1.2724645137786865
05-06-1986,20.625,21.25,14000,21.25,21.125,1.2649798393249512
06-06-1986,20.5,21.125,8000,21.25,21.0,1.2574950456619263
09-06-1986,20.375,21.0,10900,21.0,20.625,1.2350391149520874
10-06-1986,20.25,20.625,7300,20.875,20.75,1.2425237894058228
11-06-1986,20.25,20.75,16900,20.875,20.875,1.2500085830688477
12-06-1986,20.625,20.875,6500,21.25,21.25,1.2724645137786865
