Date,Low,Open,Volume,High,Close,Adjusted Close
28-05-1999,7.4375,7.53125,7882400,9.21875,8.53125,7.95389986038208
01-06-1999,7.5625,8.625,1467600,8.6875,8.0,7.458602428436279
02-06-1999,7.5625,8.0,588400,8.0625,7.78125,7.2546563148498535
03-06-1999,7.6875,7.9375,744400,8.59375,8.46875,7.895630359649658
04-06-1999,8.375,8.5,653400,8.8125,8.375,7.808224201202393
07-06-1999,8.3125,8.625,879800,8.625,8.625,8.041305541992188
08-06-1999,8.5,8.5,283600,8.71875,8.625,8.041305541992188
09-06-1999,8.6875,8.75,535400,8.875,8.75,8.157844543457031
10-06-1999,8.34375,8.8125,637000,8.8125,8.6875,8.099576950073242
11-06-1999,8.4375,8.5625,410600,8.6875,8.5625,7.983034610748291
14-06-1999,8.5625,8.71875,261800,8.96875,8.875,8.27438735961914
15-06-1999,8.8125,9.0,136600,9.3125,9.21875,8.594874382019043
16-06-1999,9.3125,9.375,293000,10.75,10.5625,9.847686767578125
17-06-1999,10.5625,10.65625,176800,11.875,11.125,10.37211799621582
18-06-1999,10.875,10.875,77200,11.375,10.9375,10.197308540344238
21-06-1999,10.90625,11.125,144200,11.75,11.75,10.954822540283203
22-06-1999,11.4375,11.9375,176200,12.1875,11.5625,10.780011177062988
23-06-1999,11.625,11.75,431800,12.6875,12.6875,11.828875541687012
24-06-1999,12.75,13.1875,322400,13.5625,13.1875,12.295039176940918
25-06-1999,12.75,13.46875,84000,13.53125,12.9375,12.061959266662598
28-06-1999,12.5,13.25,314800,13.25,12.5625,11.712337493896484
29-06-1999,12.5625,12.5625,798400,13.125,12.9375,12.061959266662598
30-06-1999,13.03125,13.15625,510000,13.625,13.5,12.586390495300293
01-07-1999,13.25,13.65625,34800,13.875,13.65625,12.73206615447998
02-07-1999,13.25,13.625,14600,13.65625,13.25,12.353310585021973
06-07-1999,13.4375,13.46875,76600,13.65625,13.4375,12.528120040893555
07-07-1999,13.4375,13.625,30800,13.625,13.625,12.702932357788086
08-07-1999,13.5625,13.65625,110800,14.71875,14.1875,13.227364540100098
09-07-1999,14.1875,14.1875,364600,18.125,15.5,14.451041221618652
12-07-1999,15.5625,16.375,139400,18.125,16.21875,15.121150970458984
13-07-1999,14.9375,16.3125,344200,16.3125,15.125,14.101420402526855
14-07-1999,15.0,15.1875,118200,16.0625,15.625,14.567582130432129
15-07-1999,15.4375,15.8125,437200,16.8125,16.5625,15.44163703918457
16-07-1999,16.5,16.875,136600,17.0625,16.5625,15.44163703918457
19-07-1999,14.0625,17.0,454000,17.25,15.0,13.984879493713379
20-07-1999,13.625,14.96875,323600,15.0625,13.71875,12.790335655212402
21-07-1999,12.5,13.859375,965200,13.96875,12.5,11.654065132141113
22-07-1999,12.3125,12.5625,184600,13.875,13.3125,12.411581039428711
23-07-1999,12.875,13.375,115600,13.4375,13.1875,12.295039176940918
26-07-1999,12.5,12.8125,214800,13.03125,12.75,11.887146949768066
27-07-1999,12.5625,12.5625,60000,13.21875,13.0625,12.178497314453125
28-07-1999,13.0625,13.0625,93400,14.75,13.8125,12.877742767333984
29-07-1999,13.5,13.5,91600,14.3125,14.3125,13.34390640258789
30-07-1999,14.4375,14.4375,331200,15.125,15.0,13.984879493713379
02-08-1999,13.125,14.875,73000,15.0,13.53125,12.615525245666504
03-08-1999,11.375,13.53125,712800,13.53125,12.375,11.537525177001953
04-08-1999,12.125,12.3125,151200,12.625,12.4375,11.595795631408691
05-08-1999,11.5,12.5,147600,12.5,11.9375,11.129632949829102
06-08-1999,11.75,11.875,29600,11.9375,11.78125,10.983956336975098
09-08-1999,10.8125,11.8125,136000,11.8125,10.8125,10.080766677856445
10-08-1999,9.625,10.6875,144600,10.90625,9.8125,9.148441314697266
11-08-1999,10.28125,10.375,985400,10.8125,10.5625,9.847686767578125
12-08-1999,10.59375,10.625,929800,10.875,10.6875,9.964226722717285
13-08-1999,10.75,10.75,268200,11.9375,11.90625,11.100499153137207
16-08-1999,11.90625,12.0,284600,13.625,12.6875,11.828875541687012
17-08-1999,12.625,12.6875,76600,13.8125,13.0,12.12022876739502
18-08-1999,13.0,13.1875,290000,13.75,13.125,12.23676872253418
19-08-1999,13.0,13.5,362800,13.9375,13.875,12.936013221740723
20-08-1999,13.875,14.203125,91200,14.625,14.4375,13.460445404052734
23-08-1999,14.3125,14.4375,112400,15.0,14.75,13.751798629760742
24-08-1999,14.5,14.5,182400,14.8125,14.75,13.751798629760742
25-08-1999,14.25,14.5,54000,14.6875,14.28125,13.31477165222168
26-08-1999,13.75,14.0,121400,14.125,13.75,12.819473266601562
27-08-1999,13.78125,14.0,48600,14.0,13.875,12.936013221740723
30-08-1999,13.8125,13.8125,52800,14.0,14.0,13.0525541305542
31-08-1999,13.8125,14.0625,138600,14.5625,14.5625,13.576988220214844
01-09-1999,14.5,14.625,37000,15.125,14.71875,13.722661972045898
02-09-1999,14.0,14.3125,81000,14.75,14.125,13.169095039367676
03-09-1999,14.0625,14.1875,66200,14.5625,14.4375,13.460445404052734
07-09-1999,14.4375,14.9375,194000,14.96875,14.5,13.518716812133789
