Date,Low,Open,Volume,High,Close,Adjusted Close
09-08-1996,10.75,11.375,1494400,15.0,14.75,4.7989068031311035
12-08-1996,14.5,15.5,772300,16.5,14.625,4.758237361907959
13-08-1996,14.25,15.25,153000,15.25,14.5,4.717569351196289
14-08-1996,13.5,14.25,202300,15.0,13.75,4.473556995391846
15-08-1996,13.0,13.25,220200,13.625,13.5,4.392219543457031
16-08-1996,13.0,13.5,34900,13.625,13.5,4.392219543457031
19-08-1996,13.0,13.125,77000,13.75,13.0,4.2295451164245605
20-08-1996,11.0,13.0,241600,13.25,11.5,3.741520404815674
21-08-1996,10.5,11.0,417100,11.25,10.625,3.4568393230438232
22-08-1996,10.75,10.75,118100,12.75,12.25,3.985532760620117
23-08-1996,11.875,11.875,170800,13.75,13.125,4.270213603973389
26-08-1996,12.75,13.75,153400,14.625,14.25,4.636231899261475
27-08-1996,13.875,14.875,249700,15.25,14.5,4.717569351196289
28-08-1996,14.0,14.0,26100,14.75,14.0,4.55489444732666
29-08-1996,14.0,14.25,22100,14.75,14.0,4.55489444732666
30-08-1996,14.25,15.0,59200,15.5,15.0,4.88024377822876
03-09-1996,14.25,14.75,115700,15.75,15.25,4.961581230163574
04-09-1996,14.75,15.25,208700,16.5,14.875,4.839575290679932
05-09-1996,14.375,14.75,83700,15.25,15.0,4.88024377822876
06-09-1996,15.0,15.0,73000,15.5,15.5,5.042919158935547
09-09-1996,14.5,15.5,64900,15.5,15.0,4.88024377822876
10-09-1996,14.75,15.125,399600,17.75,17.0,5.530943393707275
11-09-1996,16.25,17.25,129200,17.25,16.5,5.3682684898376465
12-09-1996,16.5,16.75,101100,17.0,17.0,5.530943393707275
13-09-1996,16.25,16.5,73000,17.25,16.5,5.3682684898376465
16-09-1996,16.25,16.5,178100,17.75,17.5,5.693617820739746
17-09-1996,16.75,18.0,234000,18.125,17.25,5.61228084564209
18-09-1996,16.75,16.875,68700,17.25,17.25,5.61228084564209
19-09-1996,16.25,16.8125,33800,17.25,16.5,5.3682684898376465
20-09-1996,16.0,16.5,47900,17.0,16.5,5.3682684898376465
23-09-1996,15.5,16.0,101300,16.5,15.75,5.124256134033203
24-09-1996,15.5,15.75,159700,17.5,16.75,5.449605941772461
25-09-1996,16.75,17.5,59800,17.5,17.25,5.61228084564209
26-09-1996,17.25,17.5,221900,19.0,18.5,6.018967628479004
27-09-1996,17.0,19.0,144300,19.0,17.0,5.530943393707275
30-09-1996,16.75,17.0,61300,17.5,16.875,5.490274429321289
01-10-1996,16.0,16.5,36500,16.75,16.0,5.205594062805176
02-10-1996,16.0,16.25,92300,17.5,17.0,5.530943393707275
03-10-1996,16.5,17.5,40700,17.5,16.75,5.449605941772461
04-10-1996,16.25,17.25,58900,17.25,16.5,5.3682684898376465
07-10-1996,14.75,16.75,302600,17.0,15.0,4.88024377822876
08-10-1996,15.0,15.0,201000,16.0,15.5,5.042919158935547
