Date,Low,Open,Volume,High,Close,Adjusted Close
05-06-1992,1.046875,1.125,77576000,1.15625,1.0625,0.9215908050537109
08-06-1992,1.03125,1.09375,13020800,1.09375,1.03125,0.8944852948188782
09-06-1992,1.03125,1.0625,8281600,1.078125,1.046875,0.9080380797386169
10-06-1992,1.0,1.03125,4707200,1.046875,1.0,0.8673796653747559
11-06-1992,0.984375,1.0,4974400,1.015625,0.9921879768371582,0.8606036305427551
12-06-1992,0.984375,0.984375,2393600,1.015625,1.015625,0.8809323310852051
15-06-1992,0.984375,0.984375,1944000,1.015625,1.0,0.8673796653747559
16-06-1992,0.984375,1.015625,1276800,1.015625,0.984375,0.8538268208503723
17-06-1992,0.875,0.984375,17123200,1.015625,0.890625,0.7725099325180054
18-06-1992,0.875,0.890625,5713600,0.90625,0.875,0.7589572072029114
19-06-1992,0.875,0.875,1252800,0.953125,0.921875,0.7996155023574829
22-06-1992,0.9375,0.9375,2241600,0.96875,0.953125,0.8267211318016052
23-06-1992,0.9375,0.96875,3516800,1.0,1.0,0.8673796653747559
24-06-1992,0.90625,0.984375,4502400,0.9921879768371582,0.953125,0.8267211318016052
25-06-1992,0.9375,0.96875,1024000,0.984375,0.984375,0.8538268208503723
26-06-1992,0.96875,1.0,568000,1.0,0.984375,0.8538268208503723
29-06-1992,1.0,1.0,1724800,1.046875,1.03125,0.8944852948188782
30-06-1992,1.03125,1.0625,3028800,1.09375,1.0625,0.9215908050537109
01-07-1992,1.03125,1.0625,1216000,1.0625,1.03125,0.8944852948188782
02-07-1992,1.0,1.03125,1054400,1.0546879768371582,1.0078129768371582,0.8741564154624939
06-07-1992,0.953125,1.0,1363200,1.0,0.953125,0.8267211318016052
07-07-1992,0.953125,0.953125,998400,1.0,1.0,0.8673796653747559
08-07-1992,0.9453129768371582,0.96875,2686400,1.0,0.953125,0.8267211318016052
09-07-1992,0.96875,0.984375,2024000,1.046875,1.046875,0.9080380797386169
10-07-1992,1.015625,1.046875,680000,1.046875,1.046875,0.9080380797386169
13-07-1992,1.015625,1.046875,334400,1.046875,1.046875,0.9080380797386169
14-07-1992,1.015625,1.015625,3032000,1.09375,1.09375,0.9486967921257019
15-07-1992,1.0625,1.09375,875200,1.09375,1.0625,0.9215908050537109
