Date,Low,Open,Volume,High,Close,Adjusted Close
06-10-1998,37.0,37.0,250,38.0,38.0,17.957820892333984
07-10-1998,38.0,38.0,750,38.0,38.0,17.957820892333984
08-10-1998,38.0,38.0,0,38.0,38.0,17.957820892333984
09-10-1998,37.0,38.0,2600,38.0,37.0,17.48525047302246
12-10-1998,38.0,38.25,1950,38.25,38.0,17.957820892333984
13-10-1998,38.5,38.5,300,38.5,38.5,18.194107055664062
14-10-1998,37.0,37.0,50,37.0,37.0,17.48525047302246
15-10-1998,37.0,37.0,0,37.0,37.0,17.48525047302246
16-10-1998,38.0,38.0,300,38.25,38.0,18.05546760559082
19-10-1998,38.0,38.0,50,38.0,38.0,18.05546760559082
20-10-1998,36.5,37.5,400,38.0,38.0,18.05546760559082
21-10-1998,38.0,38.0,0,38.0,38.0,18.05546760559082
22-10-1998,36.75,38.0,700,38.0,36.75,17.46154022216797
23-10-1998,36.5,36.5,1400,38.0,38.0,18.05546760559082
26-10-1998,36.75,36.75,750,37.5,37.5,17.817899703979492
27-10-1998,37.5,37.5,0,37.5,37.5,17.817899703979492
28-10-1998,37.5,37.5,0,37.5,37.5,17.817899703979492
29-10-1998,37.5,38.0,14700,38.0,37.5,17.817899703979492
30-10-1998,36.0,37.5,900,37.5,36.0,17.105178833007812
02-11-1998,37.5,37.5,350,37.5,37.5,17.817899703979492
03-11-1998,36.0,37.5,1650,37.5,36.0,17.105178833007812
04-11-1998,37.5,38.0,2200,38.0,37.5,17.817899703979492
05-11-1998,37.5,37.5,1500,37.5,37.5,17.817899703979492
06-11-1998,37.25,37.25,100,37.25,37.25,17.699111938476562
09-11-1998,37.25,37.25,100,37.25,37.25,17.699111938476562
10-11-1998,37.25,37.25,0,37.25,37.25,17.699111938476562
11-11-1998,37.25,37.25,100,37.25,37.25,17.699111938476562
12-11-1998,36.5,36.5,550,36.5,36.5,17.342756271362305
13-11-1998,36.5,36.5,0,36.5,36.5,17.342756271362305
16-11-1998,37.25,37.25,150,37.25,37.25,17.699111938476562
17-11-1998,36.25,37.25,700,37.25,36.25,17.223960876464844
18-11-1998,36.25,36.25,0,36.25,36.25,17.223960876464844
19-11-1998,37.0,37.0,50,37.0,37.0,17.580326080322266
20-11-1998,37.0,37.0,0,37.0,37.0,17.580326080322266
23-11-1998,37.0,37.0,300,37.0,37.0,17.580326080322266
24-11-1998,36.25,36.5,150,36.5,36.25,17.223960876464844
25-11-1998,37.0,37.0,2550,37.0,37.0,17.580326080322266
