Date,Low,Open,Volume,High,Close,Adjusted Close
07-10-2003,14.25,14.25,0,14.25,14.25,6.868288040161133
08-10-2003,14.25,14.25,0,14.25,14.25,6.868288040161133
09-10-2003,14.25,14.25,100,14.25,14.25,6.868288040161133
10-10-2003,14.25,14.25,0,14.25,14.25,6.868288040161133
13-10-2003,14.25,14.25,0,14.25,14.25,6.868288040161133
14-10-2003,14.25,14.25,0,14.25,14.25,6.868288040161133
15-10-2003,14.25,14.25,0,14.25,14.25,6.868288040161133
16-10-2003,14.5,14.5,2200,14.5,14.5,6.988785743713379
17-10-2003,14.550000190734863,14.550000190734863,400,14.550000190734863,14.550000190734863,7.012882232666016
20-10-2003,14.699999809265137,14.699999809265137,2200,14.699999809265137,14.699999809265137,7.08518123626709
21-10-2003,14.699999809265137,14.699999809265137,0,14.699999809265137,14.699999809265137,7.08518123626709
22-10-2003,14.699999809265137,14.699999809265137,0,14.699999809265137,14.699999809265137,7.08518123626709
23-10-2003,14.699999809265137,14.699999809265137,0,14.699999809265137,14.699999809265137,7.08518123626709
24-10-2003,14.699999809265137,14.699999809265137,0,14.699999809265137,14.699999809265137,7.08518123626709
27-10-2003,14.699999809265137,14.699999809265137,0,14.699999809265137,14.699999809265137,7.08518123626709
28-10-2003,14.350000381469727,14.350000381469727,400,14.600000381469727,14.600000381469727,7.036980628967285
29-10-2003,14.600000381469727,14.600000381469727,0,14.600000381469727,14.600000381469727,7.036980628967285
30-10-2003,14.350000381469727,14.350000381469727,2000,14.600000381469727,14.600000381469727,7.036980628967285
31-10-2003,14.600000381469727,14.600000381469727,0,14.600000381469727,14.600000381469727,7.036980628967285
03-11-2003,14.600000381469727,14.600000381469727,0,14.600000381469727,14.600000381469727,7.036980628967285
04-11-2003,14.600000381469727,14.600000381469727,0,14.600000381469727,14.600000381469727,7.036980628967285
05-11-2003,14.600000381469727,14.600000381469727,0,14.600000381469727,14.600000381469727,7.036980628967285
06-11-2003,14.600000381469727,14.600000381469727,0,14.600000381469727,14.600000381469727,7.036980628967285
07-11-2003,14.600000381469727,14.600000381469727,0,14.600000381469727,14.600000381469727,7.036980628967285
10-11-2003,14.600000381469727,14.600000381469727,0,14.600000381469727,14.600000381469727,7.036980628967285
11-11-2003,14.600000381469727,14.600000381469727,0,14.600000381469727,14.600000381469727,7.036980628967285
12-11-2003,14.600000381469727,14.600000381469727,0,14.600000381469727,14.600000381469727,7.036980628967285
13-11-2003,14.600000381469727,14.600000381469727,0,14.600000381469727,14.600000381469727,7.036980628967285
14-11-2003,14.600000381469727,14.600000381469727,4900,15.0,15.0,7.229776859283447
17-11-2003,15.25,15.25,200,15.25,15.25,7.350275039672852
18-11-2003,15.25,15.25,0,15.25,15.25,7.350275039672852
19-11-2003,15.0,15.0,3000,15.0,15.0,7.229776859283447
20-11-2003,15.0,15.0,0,15.0,15.0,7.229776859283447
21-11-2003,15.0,15.0,0,15.0,15.0,7.229776859283447
24-11-2003,15.0,15.0,0,15.0,15.0,7.229776859283447
25-11-2003,15.0,15.0,0,15.0,15.0,7.229776859283447
26-11-2003,15.0,15.0,0,15.0,15.0,7.229776859283447
28-11-2003,15.0,15.0,0,15.0,15.0,7.229776859283447
01-12-2003,14.5,14.5,400,14.5,14.5,6.988785743713379
02-12-2003,14.5,14.5,0,14.5,14.5,6.988785743713379
03-12-2003,14.5,14.5,0,14.5,14.5,6.988785743713379
04-12-2003,14.5,14.5,0,14.5,14.5,6.988785743713379
05-12-2003,14.600000381469727,14.600000381469727,1100,15.0,15.0,7.325768947601318
08-12-2003,15.0,15.0,600,15.0,15.0,7.325768947601318
09-12-2003,15.0,15.0,0,15.0,15.0,7.325768947601318
10-12-2003,15.0,15.0,0,15.0,15.0,7.325768947601318
11-12-2003,14.699999809265137,14.699999809265137,100,14.699999809265137,14.699999809265137,7.179255485534668
12-12-2003,14.699999809265137,14.699999809265137,0,14.699999809265137,14.699999809265137,7.179255485534668
15-12-2003,14.699999809265137,14.699999809265137,400,15.0,15.0,7.325768947601318
16-12-2003,14.699999809265137,14.699999809265137,600,14.699999809265137,14.699999809265137,7.179255485534668
17-12-2003,14.699999809265137,14.699999809265137,0,14.699999809265137,14.699999809265137,7.179255485534668
18-12-2003,14.699999809265137,14.699999809265137,0,14.699999809265137,14.699999809265137,7.179255485534668
19-12-2003,15.0,15.0,500,15.0,15.0,7.325768947601318
22-12-2003,15.0,15.0,0,15.0,15.0,7.325768947601318
23-12-2003,15.0,15.0,0,15.0,15.0,7.325768947601318
24-12-2003,15.0,15.0,0,15.0,15.0,7.325768947601318
26-12-2003,15.0,15.0,0,15.0,15.0,7.325768947601318
29-12-2003,15.0,15.0,0,15.0,15.0,7.325768947601318
