Date,Low,Open,Volume,High,Close,Adjusted Close
06-06-1996,7.5,7.5,300,7.5,7.5,2.5595381259918213
07-06-1996,7.5,7.5,7100,8.75,8.75,2.9861276149749756
10-06-1996,6.25,6.25,4740,10.0,10.0,3.4127180576324463
11-06-1996,8.125,8.125,920,8.125,8.125,2.772833824157715
12-06-1996,7.5,8.125,640,8.125,7.5,2.5595381259918213
13-06-1996,7.5,7.5,2200,8.75,8.75,2.9861276149749756
14-06-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
17-06-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
18-06-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
19-06-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
20-06-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
21-06-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
24-06-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
25-06-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
26-06-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
27-06-1996,8.75,8.75,3300,11.25,11.25,3.839308023452759
28-06-1996,10.0,11.25,1420,11.25,11.25,3.839308023452759
01-07-1996,8.75,8.75,20,8.75,8.75,2.9861276149749756
02-07-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
03-07-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
05-07-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
08-07-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
09-07-1996,10.0,10.0,2000,10.0,10.0,3.4127180576324463
10-07-1996,10.0,10.0,0,10.0,10.0,3.4127180576324463
11-07-1996,10.0,10.0,0,10.0,10.0,3.4127180576324463
12-07-1996,10.0,10.0,500,10.0,10.0,3.4127180576324463
15-07-1996,9.375,9.375,2740,11.25,9.375,3.19942307472229
16-07-1996,9.375,9.375,200,9.375,9.375,3.19942307472229
17-07-1996,11.25,11.25,140,11.25,11.25,3.839308023452759
18-07-1996,11.25,11.25,0,11.25,11.25,3.839308023452759
19-07-1996,11.25,11.25,0,11.25,11.25,3.839308023452759
22-07-1996,11.25,11.25,0,11.25,11.25,3.839308023452759
23-07-1996,8.125,9.375,1100,10.625,8.125,2.772833824157715
24-07-1996,8.75,8.75,1000,9.0625,9.0625,3.092775821685791
25-07-1996,8.75,8.75,200,8.75,8.75,2.9861276149749756
26-07-1996,10.0,10.0,600,10.0,10.0,3.4127180576324463
29-07-1996,10.0,10.0,0,10.0,10.0,3.4127180576324463
30-07-1996,10.0,10.0,0,10.0,10.0,3.4127180576324463
31-07-1996,8.75,8.75,1660,10.0,10.0,3.4127180576324463
01-08-1996,8.75,10.0,460,10.0,8.75,2.9861276149749756
02-08-1996,8.75,8.75,900,8.75,8.75,2.9861276149749756
05-08-1996,8.75,8.75,860,8.75,8.75,2.9861276149749756
06-08-1996,8.75,8.75,1800,10.0,10.0,3.4127180576324463
07-08-1996,5.0,8.125,1900,8.125,7.5,2.5595381259918213
08-08-1996,8.75,8.75,200,8.75,8.75,2.9861276149749756
09-08-1996,8.75,8.75,720,8.75,8.75,2.9861276149749756
12-08-1996,5.0,5.0,200,5.0,5.0,1.7063590288162231
13-08-1996,5.0,5.0,440,5.0,5.0,1.7063590288162231
14-08-1996,7.5,7.5,220,7.5,7.5,2.5595381259918213
15-08-1996,7.5,7.5,0,7.5,7.5,2.5595381259918213
16-08-1996,7.5,7.5,0,7.5,7.5,2.5595381259918213
19-08-1996,7.5,7.5,0,7.5,7.5,2.5595381259918213
20-08-1996,7.5,7.5,0,7.5,7.5,2.5595381259918213
21-08-1996,7.5,7.5,0,7.5,7.5,2.5595381259918213
22-08-1996,5.0,5.0,200,5.0,5.0,1.7063590288162231
23-08-1996,6.25,6.25,1200,7.5,7.5,2.5595381259918213
26-08-1996,5.0,5.0,440,5.0,5.0,1.7063590288162231
27-08-1996,5.0,5.0,0,5.0,5.0,1.7063590288162231
28-08-1996,5.0,5.0,0,5.0,5.0,1.7063590288162231
29-08-1996,5.0,5.0,0,5.0,5.0,1.7063590288162231
30-08-1996,5.0,5.0,2200,8.75,8.75,2.9861276149749756
03-09-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
04-09-1996,8.75,8.75,0,8.75,8.75,2.9861276149749756
05-09-1996,6.875,6.875,600,6.875,6.875,2.3462436199188232
06-09-1996,6.875,6.875,0,6.875,6.875,2.3462436199188232
09-09-1996,5.0,5.0,200,5.0,5.0,1.7063590288162231
10-09-1996,5.0,5.0,0,5.0,5.0,1.7063590288162231
11-09-1996,5.625,5.625,1600,5.625,5.625,1.9196540117263794
12-09-1996,5.625,5.625,0,5.625,5.625,1.9196540117263794
13-09-1996,5.625,7.5,1000,7.5,5.625,1.9196540117263794
16-09-1996,5.625,5.625,0,5.625,5.625,1.9196540117263794
17-09-1996,5.625,5.625,0,5.625,5.625,1.9196540117263794
18-09-1996,5.625,5.625,0,5.625,5.625,1.9196540117263794
19-09-1996,5.625,5.625,1600,7.5,6.25,2.132948875427246
20-09-1996,7.5,7.5,1000,7.5,7.5,2.5595381259918213
23-09-1996,7.5,7.5,700,7.5,7.5,2.5595381259918213
24-09-1996,7.5,7.5,0,7.5,7.5,2.5595381259918213
