Date,Low,Open,Volume,High,Close,Adjusted Close
21-06-1995,2.125,2.25,23654400,2.25,2.125,1.5156320333480835
22-06-1995,1.9375,2.125,6014400,2.15625,2.0,1.4264771938323975
23-06-1995,2.0,2.0,1333600,2.03125,2.0,1.4264771938323975
26-06-1995,2.0,2.03125,1188000,2.03125,2.03125,1.4487659931182861
27-06-1995,1.78125,2.03125,2978400,2.03125,1.875,1.337322473526001
28-06-1995,1.8125,1.875,1576000,1.890625,1.84375,1.3150337934494019
29-06-1995,1.84375,1.84375,291200,1.90625,1.90625,1.3596110343933105
30-06-1995,1.84375,1.90625,420800,1.90625,1.90625,1.3596110343933105
03-07-1995,1.84375,1.90625,192000,1.90625,1.84375,1.3150337934494019
05-07-1995,1.8125,1.90625,2457600,1.90625,1.8125,1.2927449941635132
06-07-1995,1.8125,1.875,1080800,1.875,1.8125,1.2927449941635132
07-07-1995,1.8125,1.890625,108000,1.890625,1.8125,1.2927449941635132
10-07-1995,1.8125,1.8125,540800,1.890625,1.84375,1.3150337934494019
11-07-1995,1.8125,1.890625,422400,1.890625,1.8125,1.2927449941635132
12-07-1995,1.8125,1.8125,1376800,1.875,1.875,1.337322473526001
13-07-1995,1.8125,1.875,107200,1.90625,1.90625,1.3596110343933105
14-07-1995,1.875,1.875,200000,1.9375,1.9375,1.3818998336791992
17-07-1995,1.875,1.921875,343200,1.96875,1.9375,1.3818998336791992
18-07-1995,1.890625,1.9375,1123200,2.03125,1.9375,1.3818998336791992
19-07-1995,1.875,2.0,499200,2.0,1.875,1.337322473526001
20-07-1995,1.8125,1.96875,609600,1.96875,1.8125,1.2927449941635132
21-07-1995,1.8125,1.90625,911200,1.90625,1.84375,1.3150337934494019
24-07-1995,1.8125,1.90625,37600,1.90625,1.90625,1.3596110343933105
25-07-1995,1.8125,1.8125,48000,1.90625,1.8125,1.2927449941635132
26-07-1995,1.8125,1.90625,692000,1.90625,1.8125,1.2927449941635132
27-07-1995,1.8125,1.8125,48800,1.90625,1.8125,1.2927449941635132
