Date,Low,Open,Volume,High,Close,Adjusted Close
11-12-1995,17.0,18.0,4597900.0,20.0,18.0,18.0
12-12-1995,17.0,18.0,964100.0,18.25,17.875,17.875
13-12-1995,17.5,18.0,327700.0,18.0,17.5,17.5
14-12-1995,17.0,17.5,295900.0,18.0,17.5,17.5
15-12-1995,16.25,17.25,213400.0,17.25,17.0,17.0
18-12-1995,13.75,16.5,446800.0,16.5,14.5,14.5
19-12-1995,13.75,14.5,233200.0,18.25,17.25,17.25
20-12-1995,17.25,17.25,303700.0,18.0,17.375,17.375
21-12-1995,17.25,18.0,121400.0,18.25,18.25,18.25
22-12-1995,17.25,18.25,102800.0,18.25,18.25,18.25
26-12-1995,17.75,18.25,102200.0,19.0,18.25,18.25
27-12-1995,18.5,18.5,207900.0,20.75,20.5,20.5
28-12-1995,19.75,20.5,80700.0,21.0,19.75,19.75
29-12-1995,19.5,20.1299991607666,99200.0,23.0,22.25,22.25
02-01-1996,20.5,21.75,50900.0,22.25,20.5,20.5
03-01-1996,20.25,21.0,130500.0,21.0,20.25,20.25
04-01-1996,18.75,21.0,11100.0,21.0,18.75,18.75
05-01-1996,18.0,18.5,195600.0,18.875,18.75,18.75
08-01-1996,18.0,18.0,71500.0,18.75,18.75,18.75
09-01-1996,17.0,18.75,66500.0,18.75,17.0,17.0
10-01-1996,15.5,17.25,310900.0,17.25,16.25,16.25
11-01-1996,16.5,16.5,102500.0,17.25,17.25,17.25
12-01-1996,16.5,17.25,71800.0,17.25,16.75,16.75
15-01-1996,15.75,17.0,134800.0,17.0,15.75,15.75
16-01-1996,15.0,16.25,110400.0,16.25,15.0,15.0
17-01-1996,15.0,15.5,33400.0,16.0,15.5,15.5
18-01-1996,14.25,15.75,52400.0,15.75,15.0,15.0
19-01-1996,14.25,15.0,73200.0,15.25,14.25,14.25
22-01-1996,14.25,14.25,56300.0,15.25,14.25,14.25
23-01-1996,13.5,14.5,101100.0,14.75,14.75,14.75
24-01-1996,14.875,15.25,232100.0,17.25,17.0,17.0
25-01-1996,16.5,17.25,193600.0,17.25,16.75,16.75
26-01-1996,17.0,17.5,199300.0,18.5,18.25,18.25
29-01-1996,18.5,18.5,311400.0,21.75,20.75,20.75
30-01-1996,20.75,21.0,438000.0,23.0,22.0,22.0
31-01-1996,18.0,20.25,194100.0,22.5,22.0,22.0
01-02-1996,17.75,18.5,446600.0,18.75,17.75,17.75
02-02-1996,19.0,19.5,201400.0,20.25,19.75,19.75
05-02-1996,16.75,19.75,284800.0,19.75,19.25,19.25
06-02-1996,18.25,19.75,60500.0,19.75,19.0,19.0
07-02-1996,18.0,18.75,138100.0,18.75,18.0,18.0
08-02-1996,16.75,17.75,235500.0,18.5,17.25,17.25
09-02-1996,15.375,17.75,224200.0,17.875,16.75,16.75
12-02-1996,15.5,16.75,40600.0,16.75,16.0,16.0
13-02-1996,15.5,16.25,24500.0,16.5,16.0,16.0
14-02-1996,15.5,16.75,42300.0,16.75,16.0,16.0
15-02-1996,15.0,16.5,108000.0,16.5,15.875,15.875
16-02-1996,14.375,15.5,269300.0,15.5,15.0,15.0
20-02-1996,15.0,15.0,0.0,15.0,15.0,15.0
21-02-1996,14.75,15.25,104500.0,16.0,15.625,15.625
22-02-1996,15.25,16.0,320200.0,18.75,17.0,17.0
23-02-1996,16.875,17.0,151800.0,18.0,17.5,17.5
26-02-1996,17.5,18.5,84900.0,19.25,17.75,17.75
27-02-1996,16.5,17.75,432400.0,19.75,17.25,17.25
28-02-1996,16.5,17.25,105200.0,17.25,17.0,17.0
29-02-1996,16.25,17.0,126200.0,17.0,17.0,17.0
01-03-1996,16.5,17.0,96000.0,17.0,16.5,16.5
04-03-1996,,,,,,
05-03-1996,14.25,14.75,658500.0,16.25,16.25,16.25
06-03-1996,14.0,16.0,328400.0,16.0,14.5,14.5
07-03-1996,14.0,14.75,219700.0,14.75,14.25,14.25
08-03-1996,13.125,13.75,185100.0,15.75,15.0,15.0
11-03-1996,14.0,14.0,90800.0,16.5,16.0,16.0
12-03-1996,15.0,16.0,89700.0,16.0,15.5,15.5
13-03-1996,14.25,15.25,98200.0,16.0,15.75,15.75
14-03-1996,14.75,15.5,43300.0,15.75,15.0,15.0
15-03-1996,15.125,15.5,131900.0,16.5,16.0,16.0
18-03-1996,15.25,16.0,74700.0,16.0,15.5,15.5
19-03-1996,15.375,15.380000114440918,40200.0,16.125,15.625,15.625
20-03-1996,15.375,16.0,55800.0,16.125,15.625,15.625
21-03-1996,14.5,15.5,83700.0,15.75,14.75,14.75
22-03-1996,14.375,14.75,178000.0,15.0,14.5,14.5
25-03-1996,13.75,15.5,614200.0,15.5,14.75,14.75
26-03-1996,14.0,14.5,89600.0,15.0,14.5,14.5
27-03-1996,14.25,14.5,41500.0,14.5,14.5,14.5
28-03-1996,14.0,14.5,166100.0,15.75,15.375,15.375
29-03-1996,14.75,15.5,97700.0,16.0,15.0,15.0
01-04-1996,14.0,15.25,194300.0,15.25,14.125,14.125
02-04-1996,14.625,14.75,102600.0,15.25,15.0,15.0
03-04-1996,14.375,15.25,101800.0,15.25,14.812999725341797,14.812999725341797
04-04-1996,14.375,15.0,46200.0,15.0,14.75,14.75
08-04-1996,13.75,14.25,93200.0,14.5,14.0,14.0
09-04-1996,9.75,14.0,216600.0,14.5,11.75,11.75
10-04-1996,10.25,12.75,368000.0,12.75,10.5,10.5
11-04-1996,10.75,11.5,238800.0,12.5,12.0,12.0
12-04-1996,11.5,12.0,132800.0,12.5,12.0,12.0
15-04-1996,11.25,12.5,91900.0,12.5,11.5,11.5
16-04-1996,11.0,12.25,146300.0,12.25,12.0,12.0
17-04-1996,11.25,12.0,93900.0,12.0,11.25,11.25
18-04-1996,9.75,11.0,314400.0,11.5,10.75,10.75
19-04-1996,10.5,10.5,347300.0,11.5,11.0,11.0
22-04-1996,10.75,11.5,93800.0,11.5,11.25,11.25
23-04-1996,10.75,11.25,108400.0,11.25,11.125,11.125
24-04-1996,10.75,10.75,255200.0,11.5,11.5,11.5
25-04-1996,11.5,11.5,307500.0,14.25,13.25,13.25
26-04-1996,13.5,15.0,197600.0,15.25,14.0,14.0
29-04-1996,13.5,14.0,82300.0,14.5,14.25,14.25
30-04-1996,13.75,14.25,206900.0,15.0,15.0,15.0
01-05-1996,9.75,10.25,1028100.0,12.0,10.75,10.75
02-05-1996,10.25,11.5,521700.0,12.25,10.75,10.75
