Date,Low,Open,Volume,High,Close,Adjusted Close
07-06-1972,5.2707390785217285,5.2707390785217285,0.0,5.2707390785217285,5.2707390785217285,1.9623461961746216
08-06-1972,,,,,,
09-06-1972,,,,,,
12-06-1972,,,,,,
13-06-1972,,,,,,
14-06-1972,,,,,,
15-06-1972,,,,,,
16-06-1972,,,,,,
19-06-1972,,,,,,
20-06-1972,,,,,,
21-06-1972,,,,,,
22-06-1972,,,,,,
23-06-1972,,,,,,
26-06-1972,4.966658115386963,4.966658115386963,0.0,4.966658115386963,4.966658115386963,1.849134922027588
27-06-1972,,,,,,
28-06-1972,,,,,,
29-06-1972,,,,,,
30-06-1972,,,,,,
03-07-1972,5.2707390785217285,5.2707390785217285,0.0,5.2707390785217285,5.2707390785217285,1.9623461961746216
05-07-1972,,,,,,
06-07-1972,,,,,,
07-07-1972,,,,,,
10-07-1972,,,,,,
11-07-1972,,,,,,
12-07-1972,,,,,,
13-07-1972,,,,,,
14-07-1972,,,,,,
17-07-1972,5.118780136108398,5.118780136108398,0.0,5.118780136108398,5.118780136108398,1.9057698249816895
18-07-1972,,,,,,
19-07-1972,4.865297794342041,4.865297794342041,0.0,4.865297794342041,4.865297794342041,1.811396837234497
20-07-1972,,,,,,
21-07-1972,,,,,,
24-07-1972,,,,,,
25-07-1972,,,,,,
26-07-1972,,,,,,
27-07-1972,4.33319616317749,4.33319616317749,0.0,4.33319616317749,4.33319616317749,1.6132898330688477
28-07-1972,,,,,,
31-07-1972,,,,,,
01-08-1972,,,,,,
02-08-1972,4.206535816192627,4.206535816192627,0.0,4.206535816192627,4.206535816192627,1.56613290309906
03-08-1972,4.206535816192627,4.206535816192627,0.0,4.206535816192627,4.206535816192627,1.56613290309906
04-08-1972,,,,,,
07-08-1972,,,,,,
08-08-1972,,,,,,
09-08-1972,,,,,,
10-08-1972,,,,,,
11-08-1972,,,,,,
14-08-1972,,,,,,
15-08-1972,,,,,,
16-08-1972,,,,,,
17-08-1972,,,,,,
18-08-1972,,,,,,
21-08-1972,,,,,,
22-08-1972,,,,,,
23-08-1972,,,,,,
24-08-1972,4.307897090911865,4.307897090911865,0.0,4.307897090911865,4.307897090911865,1.6038703918457031
25-08-1972,4.307897090911865,4.307897090911865,0.0,4.307897090911865,4.307897090911865,1.6038703918457031
28-08-1972,,,,,,
29-08-1972,,,,,,
30-08-1972,4.231835842132568,4.231835842132568,0.0,4.231835842132568,4.231835842132568,1.575551986694336
31-08-1972,,,,,,
01-09-1972,,,,,,
05-09-1972,,,,,,
06-09-1972,,,,,,
07-09-1972,,,,,,
08-09-1972,,,,,,
11-09-1972,,,,,,
12-09-1972,4.510616779327393,4.510616779327393,0.0,4.510616779327393,4.510616779327393,1.6793452501296997
13-09-1972,,,,,,
14-09-1972,4.459856033325195,4.459856033325195,0.0,4.459856033325195,4.459856033325195,1.6604464054107666
15-09-1972,4.459856033325195,4.459856033325195,0.0,4.459856033325195,4.459856033325195,1.6604464054107666
18-09-1972,,,,,,
19-09-1972,,,,,,
20-09-1972,,,,,,
21-09-1972,,,,,,
22-09-1972,,,,,,
25-09-1972,,,,,,
26-09-1972,,,,,,
27-09-1972,,,,,,
28-09-1972,4.307897090911865,4.307897090911865,0.0,4.307897090911865,4.307897090911865,1.6038703918457031
29-09-1972,,,,,,
02-10-1972,4.282597064971924,4.282597064971924,0.0,4.282597064971924,4.282597064971924,1.5944509506225586
03-10-1972,,,,,,
04-10-1972,4.307897090911865,4.307897090911865,0.0,4.307897090911865,4.307897090911865,1.6038703918457031
05-10-1972,4.307897090911865,4.307897090911865,0.0,4.307897090911865,4.307897090911865,1.6038703918457031
06-10-1972,,,,,,
09-10-1972,4.358496189117432,4.358496189117432,0.0,4.358496189117432,4.358496189117432,1.6227089166641235
10-10-1972,,,,,,
11-10-1972,,,,,,
12-10-1972,,,,,,
13-10-1972,4.307897090911865,4.307897090911865,0.0,4.307897090911865,4.307897090911865,1.6038703918457031
16-10-1972,,,,,,
